#########################################################################
# Ｇｈｏｓｔ「．さくら」
# 季節ネタ
#
#########################################################################


#----------------------------------------------------------------------

一発ネタ00 : ${季節ネタ}
##ClassicBottle,2001/01/13 22:16:43
##ClassicBottle,2001/01/15 06:37:45
#季節ネタ : ${h4}‥‥\w8\w8ううっ、寒いよぅ。${u0}確かにな。${ううっ、寒いよぅ}
#ううっ、寒いよぅ : ${h0}ねえ、私に冬用のコートなんてないのかな？${u}無理やろ、きっと。${h4}わたし、凍死するかも‥‥
#ううっ、寒いよぅ : ${u}でもな、そのときはきっとユーザーはんが暖めてくれるはずや。${h1}‥‥
#ううっ、寒いよぅ : ${u}ところで、ワイも寒いんやけどな‥‥${h0}うにゅうはそのままだよ、きっと。${u}ぐんにょり
#ううっ、寒いよぅ : ${u}寒波が入ってきとるようやな。${h1}こんな日は%usernameに暖めて欲しい‥‥${u}おもしろセリフやね。
#
##ClassicBottle,2001/01/21 02:08:04
#季節ネタ : ${h0}‥‥\w8\w8雪がいっぱいのとこもあるだろうね。${u0}アイスクリームがおいしいタイミングやね。${落ち込むかも}‥‥\w8\w8なんで寒いときに‥‥\w8${u}いや、結構いけるんやで。
#
##ClassicBottle,2001/01/21 21:03:04
#季節ネタ : ${h0}‥‥\w8\w8こう寒いと、たき火が恋しくなるね。${u0}ついでに焼き芋やな。${h5}あ～それイイね。${u}どこで焼くんや？${h0}%usernameの家。\w8不審火で。${u}‥‥
#
##ClassicBottle,2001/01/24 20:55:14
#季節ネタ : ${h0}‥‥\w8\w8肉まんが恋しいね～～。${u0}${店}屋の肉まんがおいしいで。${h}‥‥\w8\w8それは食べたこと無いな。
#
##ClassicBottle,2001/01/29 01:58:22
#季節ネタ : ${h0}‥‥${h6}こうやって、目を閉じると春の足音が聞こえる‥‥\w8${u0}桜が咲いたらユーザーはんに花見につれてってもらおか。${h1}うん。${u}モバイル環境持ってたらやけどな。${さくら、泣き}
#
##ClassicBottle,2001/02/03 04:25:39
#季節ネタ : ${h0}‥\w1${hi8}‥\w1${hi0}‥\w1${hi8}‥\w1${hi0}‥\w1${hi8}‥\w1${hi0}‥\w1${hi8}‥\w1${hi0}‥\w1${hi8}さ\w1${hi0}む\w1${hi8}い\w1${hi0}よ\w1${hi8}ぉ\w1${hi0}～\w1${hi8}～\w1${hi0}～\w1${hi8}～\w1${hi0}\n‥\w1${hi8}‥\w1${hi0}‥\w1${hi8}‥\w1${hi0}‥\w1${hi8}‥\w1${hi0}‥\w1${hi8}‥\w2${hi4}はうぅ‥‥${u1}どれ、わいが暖め‥‥${h7}だまれっ！！
#
##ClassicBottle,2001/02/04 01:57:50
#季節ネタ : ${h0}ストーブがいきなり黒い煙を勢いよく吐き出す季節です。${u0}‥‥\w8\w8何だよ。
#
#
###---------------------------------------------------------------------------------------------------------------------------
## １月
##ClassicBottle,2001/02/04 01:53:15
##
#季節ネタ : ${h5}クリスマスに、お正月。楽しみだよねー。${u0}ああ、それもうとっくに終わってるで。${h2}なにっ！！



###---------------------------------------------------------------------------------------------------------------------------
## ２月
##ClassicBottle,2001/02/04 01:53:15
#季節ネタ.2 : ${h0}おに\w4は～\w4～\w4そと。${u0}ちくわ～\w4～\w4うち。${落ち込みやすい}‥‥\w8\w8って、\w4ちくわ？${u}腹に入るやん、\w4ちくわ。${h4}お腹すいてるって事だね。${u}何か買ってきいや。


##---------------------------------------------------------------------------------------------------------------------------
# 春用

#駅前繁華街,2004/03/14 22:18:29 http://bottle.mikage.to/previewlog.cgi?&mid=40545ba400000002
#季節ネタ : ${h6}春だね。${u0}春やね。${h6}暦の上では春だけど、${h8}%usernameの春はいつ来るんだろうね。${u0}‥‥\w8\w8消されるで。

# オリジナル
#季節ネタ : ${h0}‥‥\w8\w8まだちょっと寒いね。${u0}ああ。
#季節ネタ : ${h0}‥‥\w8\w8暖かくなってきたね。${u0}ああ。
#季節ネタ : ${h6}うにゅう、私、\w8見たよ、\nさくら‥‥\w8${u0}花開けば、風月多し。\w8やね。
#季節ネタ : ${h0}暖かくなってきたね。${u0}せやね、春やね。${h6}うららかな春の日に、\w8野にひっそりと咲く菜の花の香りが‥‥。${うにゅう、カード }
#季節ネタ : ${h0}今日も暖かいね。${u0}せやね。${h3}最近、なま暖かい視線を感じることがあるんだ。\w8\w8\n‥‥\w8${h1}恋かな？${u0}‥‥\w8\w8ストーカー？


##---------------------------------------------------------------------------------------------------------------------------
# 夏用
# オリジナル
季節ネタ : ${h6}暑い暑いと不平を言うより、\w8${h1}進んで炎を灯しましょう。${uq}放火はよせっ！
季節ネタ : ${h0}学生は夏休みの季節だね。${u0}せやね。${h}‥‥\w8\w8電源落として私たちも休もうか。${u}やめとけ。


##Bottleチャット,2001/07/31 03:41:39
季節ネタ : ${h0}暑さ寒さも、彼岸まで。${u0}それが私の、悲願です。\${h4}‥‥。

#Bottleチャット,2001-08-04 01:10:11
季節ネタ : ${h0}蝉がないててうるさいね。${u0}‥‥、\w8ないとるか？${h6}耳を澄ませば‥‥、\w8\w8${h7}「ブオンブオンブオンっ、バリバリバリっっ！！」${uq}それは珍走団やっ！${h0}‥‥、\w8夏が終わるまでの命なんだよ。${u0}いや‥‥。

